"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 16:08:55 GMT 2024","Sat Feb 17 16:08:58 GMT 2024","2618","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Sat Feb 17 16:08:49 GMT 2024","Sat Feb 17 16:08:51 GMT 2024","2228","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Sat Feb 17 16:08:58 GMT 2024","Sat Feb 17 16:09:00 GMT 2024","1908","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Sat Feb 17 16:08:52 GMT 2024","Sat Feb 17 16:08:54 GMT 2024","1484","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Sat Feb 17 16:08:54 GMT 2024","Sat Feb 17 16:08:55 GMT 2024","1452","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Sat Feb 17 16:09:00 GMT 2024","Sat Feb 17 16:09:02 GMT 2024","2619","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Sat Feb 17 16:08:40 GMT 2024","Sat Feb 17 16:08:43 GMT 2024","2165","","","","","","Iniciar nuevo juego -- @1.1 ",""
"passed","Sat Feb 17 16:08:45 GMT 2024","Sat Feb 17 16:08:47 GMT 2024","1242","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Sat Feb 17 16:08:43 GMT 2024","Sat Feb 17 16:08:44 GMT 2024","1401","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Sat Feb 17 16:08:44 GMT 2024","Sat Feb 17 16:08:45 GMT 2024","1394","","","","","","Iniciar nuevo juego -- @1.3 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Sat Feb 17 16:08:51 GMT 2024","Sat Feb 17 16:08:52 GMT 2024","1196","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Sat Feb 17 16:08:47 GMT 2024","Sat Feb 17 16:08:49 GMT 2024","2094","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
