"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 15:35:46 GMT 2024","Sat Feb 17 15:35:47 GMT 2024","773","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Sat Feb 17 15:35:50 GMT 2024","Sat Feb 17 15:35:51 GMT 2024","833","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Sat Feb 17 15:35:49 GMT 2024","Sat Feb 17 15:35:50 GMT 2024","837","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Sat Feb 17 15:35:47 GMT 2024","Sat Feb 17 15:35:48 GMT 2024","879","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Sat Feb 17 15:35:51 GMT 2024","Sat Feb 17 15:35:52 GMT 2024","848","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Sat Feb 17 15:35:52 GMT 2024","Sat Feb 17 15:35:53 GMT 2024","847","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Sat Feb 17 15:35:29 GMT 2024","Sat Feb 17 15:35:46 GMT 2024","16654","","","","","","Iniciar nuevo juego -- @1.1 ",""
"passed","Sat Feb 17 15:35:54 GMT 2024","Sat Feb 17 15:35:56 GMT 2024","1294","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Sat Feb 17 15:35:48 GMT 2024","Sat Feb 17 15:35:49 GMT 2024","1005","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Sat Feb 17 15:35:53 GMT 2024","Sat Feb 17 15:35:54 GMT 2024","1546","","","","","","Reinicia el juego -- @1.1 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Sat Feb 17 15:35:56 GMT 2024","Sat Feb 17 15:35:57 GMT 2024","1313","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Sat Feb 17 15:35:48 GMT 2024","Sat Feb 17 15:35:48 GMT 2024","815","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
