"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 16:03:55 GMT 2024","Sat Feb 17 16:03:56 GMT 2024","969","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Sat Feb 17 16:04:04 GMT 2024","Sat Feb 17 16:04:06 GMT 2024","2005","","","","","","Reinicia el juego -- @1.1 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Sat Feb 17 16:04:06 GMT 2024","Sat Feb 17 16:04:09 GMT 2024","2347","","","","","","Reinicia el juego -- @1.2 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Sat Feb 17 16:03:54 GMT 2024","Sat Feb 17 16:03:55 GMT 2024","983","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Sat Feb 17 16:03:56 GMT 2024","Sat Feb 17 16:03:57 GMT 2024","1584","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Sat Feb 17 16:04:03 GMT 2024","Sat Feb 17 16:04:04 GMT 2024","1677","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Sat Feb 17 16:03:57 GMT 2024","Sat Feb 17 16:03:59 GMT 2024","1493","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Sat Feb 17 16:04:00 GMT 2024","Sat Feb 17 16:04:02 GMT 2024","1324","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Sat Feb 17 16:04:09 GMT 2024","Sat Feb 17 16:04:11 GMT 2024","2168","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Sat Feb 17 16:03:49 GMT 2024","Sat Feb 17 16:03:54 GMT 2024","4575","","","","","","Iniciar nuevo juego -- @1.1 ",""
"passed","Sat Feb 17 16:04:02 GMT 2024","Sat Feb 17 16:04:03 GMT 2024","1222","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Sat Feb 17 16:03:59 GMT 2024","Sat Feb 17 16:04:00 GMT 2024","1601","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
