"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 17 14:30:05 GMT 2024","Sat Feb 17 14:30:06 GMT 2024","1008","","","","","","Reinicia el juego -- @1.3 ",""
"broken","Sat Feb 17 14:30:02 GMT 2024","Sat Feb 17 14:30:03 GMT 2024","1008","","","","","","Adivinar una letra correcta -- @1.3 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"broken","Sat Feb 17 14:30:01 GMT 2024","Sat Feb 17 14:30:02 GMT 2024","1008","","","","","","Adivinar una letra correcta -- @1.2 ",""
"broken","Sat Feb 17 14:29:59 GMT 2024","Sat Feb 17 14:30:00 GMT 2024","1008","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"broken","Sat Feb 17 14:29:58 GMT 2024","Sat Feb 17 14:29:59 GMT 2024","1008","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"broken","Sat Feb 17 14:29:56 GMT 2024","Sat Feb 17 14:29:57 GMT 2024","1009","","","","","","Iniciar nuevo juego -- @1.3 ",""
"broken","Sat Feb 17 14:30:04 GMT 2024","Sat Feb 17 14:30:05 GMT 2024","1009","","","","","","Reinicia el juego -- @1.2 ",""
"broken","Sat Feb 17 14:30:00 GMT 2024","Sat Feb 17 14:30:01 GMT 2024","1008","","","","","","Adivinar una letra correcta -- @1.1 ",""
"broken","Sat Feb 17 14:29:54 GMT 2024","Sat Feb 17 14:29:55 GMT 2024","1047","","","","","","Iniciar nuevo juego -- @1.1 ",""
"broken","Sat Feb 17 14:29:57 GMT 2024","Sat Feb 17 14:29:58 GMT 2024","1009","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"broken","Sat Feb 17 14:30:03 GMT 2024","Sat Feb 17 14:30:04 GMT 2024","1008","","","","","","Reinicia el juego -- @1.1 ",""
"broken","Sat Feb 17 14:29:55 GMT 2024","Sat Feb 17 14:29:56 GMT 2024","1009","","","","","","Iniciar nuevo juego -- @1.2 ",""
