"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 18:42:50 GMT 2024","Thu Apr 11 18:42:51 GMT 2024","1490","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"passed","Thu Apr 11 18:42:56 GMT 2024","Thu Apr 11 18:42:58 GMT 2024","2944","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Thu Apr 11 18:42:49 GMT 2024","Thu Apr 11 18:42:50 GMT 2024","1198","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Thu Apr 11 18:43:00 GMT 2024","Thu Apr 11 18:43:02 GMT 2024","1751","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Thu Apr 11 18:42:46 GMT 2024","Thu Apr 11 18:42:47 GMT 2024","988","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Thu Apr 11 18:42:53 GMT 2024","Thu Apr 11 18:42:54 GMT 2024","1113","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Thu Apr 11 18:42:24 GMT 2024","Thu Apr 11 18:42:45 GMT 2024","20200","","","","","","Iniciar nuevo juego -- @1.1 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Thu Apr 11 18:42:45 GMT 2024","Thu Apr 11 18:42:46 GMT 2024","1068","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Thu Apr 11 18:42:54 GMT 2024","Thu Apr 11 18:42:56 GMT 2024","1479","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Thu Apr 11 18:42:58 GMT 2024","Thu Apr 11 18:43:00 GMT 2024","1931","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Thu Apr 11 18:42:47 GMT 2024","Thu Apr 11 18:42:49 GMT 2024","1968","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Thu Apr 11 18:42:51 GMT 2024","Thu Apr 11 18:42:53 GMT 2024","1628","","","","","","Adivinar una letra correcta -- @1.1 ",""
