"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 13:03:46 GMT 2024","Fri Feb 16 13:03:53 GMT 2024","7009","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Fri Feb 16 13:04:16 GMT 2024","Fri Feb 16 13:04:22 GMT 2024","6267","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Fri Feb 16 13:03:58 GMT 2024","Fri Feb 16 13:04:04 GMT 2024","5695","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"passed","Fri Feb 16 13:03:53 GMT 2024","Fri Feb 16 13:03:58 GMT 2024","5675","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Fri Feb 16 13:03:41 GMT 2024","Fri Feb 16 13:03:46 GMT 2024","5125","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Fri Feb 16 13:04:22 GMT 2024","Fri Feb 16 13:04:29 GMT 2024","6915","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Fri Feb 16 13:03:30 GMT 2024","Fri Feb 16 13:03:35 GMT 2024","5288","","","","","","Iniciar nuevo juego -- @1.1 ",""
"passed","Fri Feb 16 13:04:36 GMT 2024","Fri Feb 16 13:04:43 GMT 2024","7256","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Fri Feb 16 13:04:04 GMT 2024","Fri Feb 16 13:04:10 GMT 2024","6033","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Fri Feb 16 13:03:35 GMT 2024","Fri Feb 16 13:03:41 GMT 2024","5075","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Fri Feb 16 13:04:29 GMT 2024","Fri Feb 16 13:04:36 GMT 2024","6963","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Fri Feb 16 13:04:10 GMT 2024","Fri Feb 16 13:04:16 GMT 2024","5540","","","","","","Adivinar una letra correcta -- @1.2 ",""
