"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 18:06:53 GMT 2024","Tue Feb 20 18:06:55 GMT 2024","1970","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Tue Feb 20 18:06:43 GMT 2024","Tue Feb 20 18:06:44 GMT 2024","1574","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Tue Feb 20 18:06:55 GMT 2024","Tue Feb 20 18:06:56 GMT 2024","1504","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Tue Feb 20 18:06:44 GMT 2024","Tue Feb 20 18:06:45 GMT 2024","988","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Tue Feb 20 18:06:49 GMT 2024","Tue Feb 20 18:06:51 GMT 2024","1923","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"passed","Tue Feb 20 18:06:40 GMT 2024","Tue Feb 20 18:06:43 GMT 2024","2454","","","","","","Iniciar nuevo juego -- @1.1 ",""
"passed","Tue Feb 20 18:06:47 GMT 2024","Tue Feb 20 18:06:49 GMT 2024","2022","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Tue Feb 20 18:06:45 GMT 2024","Tue Feb 20 18:06:47 GMT 2024","1858","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Tue Feb 20 18:06:51 GMT 2024","Tue Feb 20 18:06:53 GMT 2024","1589","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Tue Feb 20 18:07:00 GMT 2024","Tue Feb 20 18:07:03 GMT 2024","3000","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Tue Feb 20 18:06:58 GMT 2024","Tue Feb 20 18:07:00 GMT 2024","1933","","","","","","Reinicia el juego -- @1.2 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Tue Feb 20 18:06:56 GMT 2024","Tue Feb 20 18:06:58 GMT 2024","1965","","","","","","Reinicia el juego -- @1.1 ",""
