"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 18:16:16 GMT 2024","Tue Feb 20 18:16:17 GMT 2024","1817","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Tue Feb 20 18:16:07 GMT 2024","Tue Feb 20 18:16:09 GMT 2024","1348","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Tue Feb 20 18:16:12 GMT 2024","Tue Feb 20 18:16:13 GMT 2024","1012","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Tue Feb 20 18:16:09 GMT 2024","Tue Feb 20 18:16:10 GMT 2024","1697","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Tue Feb 20 18:16:14 GMT 2024","Tue Feb 20 18:16:16 GMT 2024","1136","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Tue Feb 20 18:16:17 GMT 2024","Tue Feb 20 18:16:20 GMT 2024","2308","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Tue Feb 20 18:16:13 GMT 2024","Tue Feb 20 18:16:14 GMT 2024","1196","","","","","","Adivinar una letra correcta -- @1.2 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Tue Feb 20 18:16:20 GMT 2024","Tue Feb 20 18:16:21 GMT 2024","1478","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Tue Feb 20 18:16:07 GMT 2024","Tue Feb 20 18:16:07 GMT 2024","905","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Tue Feb 20 18:16:05 GMT 2024","Tue Feb 20 18:16:07 GMT 2024","1196","","","","","","Iniciar nuevo juego -- @1.2 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Tue Feb 20 18:16:10 GMT 2024","Tue Feb 20 18:16:12 GMT 2024","1676","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"passed","Tue Feb 20 18:16:02 GMT 2024","Tue Feb 20 18:16:05 GMT 2024","2887","","","","","","Iniciar nuevo juego -- @1.1 ",""
