"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 18:36:50 GMT 2024","Thu Apr 11 18:36:52 GMT 2024","1488","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Thu Apr 11 18:36:59 GMT 2024","Thu Apr 11 18:37:02 GMT 2024","2958","","","","","","Reinicia el juego -- @1.2 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Thu Apr 11 18:36:52 GMT 2024","Thu Apr 11 18:36:53 GMT 2024","1280","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Thu Apr 11 18:36:44 GMT 2024","Thu Apr 11 18:36:45 GMT 2024","910","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Thu Apr 11 18:36:01 GMT 2024","Thu Apr 11 18:36:43 GMT 2024","41995","","","","","","Iniciar nuevo juego -- @1.1 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Thu Apr 11 18:36:43 GMT 2024","Thu Apr 11 18:36:44 GMT 2024","1036","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Thu Apr 11 18:36:55 GMT 2024","Thu Apr 11 18:36:59 GMT 2024","3752","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Thu Apr 11 18:36:45 GMT 2024","Thu Apr 11 18:36:47 GMT 2024","1882","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Thu Apr 11 18:37:02 GMT 2024","Thu Apr 11 18:37:04 GMT 2024","2667","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Thu Apr 11 18:36:53 GMT 2024","Thu Apr 11 18:36:55 GMT 2024","1933","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Thu Apr 11 18:36:47 GMT 2024","Thu Apr 11 18:36:49 GMT 2024","1842","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Thu Apr 11 18:36:49 GMT 2024","Thu Apr 11 18:36:50 GMT 2024","1613","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
