"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 18:43:38 GMT 2024","Thu Apr 11 18:43:40 GMT 2024","1877","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Thu Apr 11 18:43:43 GMT 2024","Thu Apr 11 18:43:45 GMT 2024","1998","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Thu Apr 11 18:43:29 GMT 2024","Thu Apr 11 18:43:31 GMT 2024","2076","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Thu Apr 11 18:43:26 GMT 2024","Thu Apr 11 18:43:27 GMT 2024","1427","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Thu Apr 11 18:43:40 GMT 2024","Thu Apr 11 18:43:43 GMT 2024","3327","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Thu Apr 11 18:43:31 GMT 2024","Thu Apr 11 18:43:33 GMT 2024","1875","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"passed","Thu Apr 11 18:43:36 GMT 2024","Thu Apr 11 18:43:38 GMT 2024","1475","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Thu Apr 11 18:43:25 GMT 2024","Thu Apr 11 18:43:26 GMT 2024","1296","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Thu Apr 11 18:43:35 GMT 2024","Thu Apr 11 18:43:36 GMT 2024","1783","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Thu Apr 11 18:43:33 GMT 2024","Thu Apr 11 18:43:35 GMT 2024","1903","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Thu Apr 11 18:43:07 GMT 2024","Thu Apr 11 18:43:25 GMT 2024","17527","","","","","","Iniciar nuevo juego -- @1.1 ",""
"passed","Thu Apr 11 18:43:27 GMT 2024","Thu Apr 11 18:43:29 GMT 2024","1611","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
