"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Tue Feb 20 18:01:43 GMT 2024","Tue Feb 20 18:01:45 GMT 2024","1818","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"passed","Tue Feb 20 18:01:45 GMT 2024","Tue Feb 20 18:01:47 GMT 2024","1410","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Tue Feb 20 18:01:55 GMT 2024","Tue Feb 20 18:01:57 GMT 2024","2193","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Tue Feb 20 18:01:41 GMT 2024","Tue Feb 20 18:01:43 GMT 2024","1931","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Tue Feb 20 18:01:37 GMT 2024","Tue Feb 20 18:01:39 GMT 2024","1285","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Tue Feb 20 18:01:48 GMT 2024","Tue Feb 20 18:01:50 GMT 2024","1811","","","","","","Adivinar una letra correcta -- @1.3 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Tue Feb 20 18:01:29 GMT 2024","Tue Feb 20 18:01:37 GMT 2024","8556","","","","","","Iniciar nuevo juego -- @1.1 ",""
"passed","Tue Feb 20 18:01:39 GMT 2024","Tue Feb 20 18:01:40 GMT 2024","1177","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Tue Feb 20 18:01:50 GMT 2024","Tue Feb 20 18:01:52 GMT 2024","2457","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Tue Feb 20 18:01:52 GMT 2024","Tue Feb 20 18:01:55 GMT 2024","2919","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Tue Feb 20 18:01:40 GMT 2024","Tue Feb 20 18:01:41 GMT 2024","1471","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Tue Feb 20 18:01:47 GMT 2024","Tue Feb 20 18:01:48 GMT 2024","1266","","","","","","Adivinar una letra correcta -- @1.2 ",""
